,y1,y5,y22,std1,std5,std22,p1,p5,p22
const,0.00469770873898948,0.004697708738990436,0.004697708738989062,0.01651013423063622,0.016510134230636575,0.01651013423063593,0.07579573317315044,0.07579573317247774,0.07579573317319739
ma200,-0.00020903665229329531,-0.00020903665229328897,-0.00020903665229330163,0.0007127614325651037,0.0007127614325650863,0.0007127614325650926,0.04957757683690576,0.049577576836925555,0.04957757683669984
ma22,0.0004053825220115066,0.0004053825220115089,0.0004053825220115293,0.002601941706821369,0.002601941706821346,0.00260194170682138,0.059818508968542836,0.059818508968390104,0.05981850896837842
ma5,-0.00022595980405112345,-0.00022595980405109005,-0.0002259598040511399,0.0021185639549089856,0.0021185639549089895,0.002118563954908993,0.04910303584495614,0.04910303584478574,0.04910303584483872
pa22,-0.07123116177254422,-0.07123116177252674,0.9287688382274535,0.2532118096582949,0.2532118096582938,0.2532118096582917,0.07354966456606986,0.07354966456621062,7.721519595509632e-106
pa5,-0.18686719738371196,0.8131328026162851,-0.18686719738370614,0.40029634002707937,0.400296340027066,0.4002963400270791,0.03296135545151622,0.007611417919356715,0.03296135545154052
pa68,-0.02819158778348047,-0.028191587783485062,-0.02819158778348086,0.12397203092001226,0.1239720309200082,0.12397203092001273,0.09482850923734946,0.09482850923706489,0.09482850923743619
